 precip_tot (log10(g/m2)),Total,FY3 Ch 1,FY3 Ch 2,FY3 Ch 3,FY3 Ch 4,FY3 Ch 5,FY3 Ch 6,FY3 Ch 7,FY3 Ch 8,FY3 Ch 9,FY3 Ch 10,FY3 Ch 11,FY3 Ch 12,FY3 Ch 13,FY3 Ch 14,FY3 Ch 15                                                                                                                                                                                                                                                                                                                                         
 -0.30000000E+01,0.39499153E+00,0.39499153E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                     
 -0.20000000E+01,0.39474898E+00,0.39474898E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                     
 -0.10000000E+01,0.39230329E+00,0.39230329E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                     
 0.00000000E+00,0.36945739E+00,0.36945739E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                      
 0.10000000E+01,0.27055131E+00,0.27055131E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                      
 0.20000000E+01,0.14383957E+01,0.14383957E+01,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                      
 0.30000000E+01,0.18078245E+02,0.18078245E+02,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                      
 0.40000000E+01,0.52531557E+02,0.52531557E+02,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                      
 0.50000000E+01,0.97529782E+02,0.97529782E+02,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                      
 0.60000000E+01,0.12106471E+03,0.12106471E+03,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                      
