 hydro_tot (log10(g/m2)),CLW (g/m2),dk0_dw,da0_dw,dTb_dw,FY3 Ch 4,FY3 Ch 5,FY3 Ch 6,FY3 Ch 7,FY3 Ch 8,FY3 Ch 9,FY3 Ch 10,FY3 Ch 11,FY3 Ch 12,FY3 Ch 13,FY3 Ch 14                                                                                                                                                                                                                                                                                                                                                     
 -0.10000000E+02,0.39642244E-12,0.11375051E-15,0.70757814E-12,0.15900491E-15,0.73809714E-15,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                                    
 -0.83333333E+01,0.39642244E-12,0.11375051E-15,0.70757814E-12,0.15900491E-15,0.73809714E-15,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                                    
 -0.66666667E+01,0.39642244E-12,0.11375051E-15,0.70757814E-12,0.15900491E-15,0.73809714E-15,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                                    
 -0.50000000E+01,0.26167721E-11,0.32228280E-13,0.70757814E-12,0.14382764E-13,0.73809714E-15,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                                    
 -0.33333333E+01,0.12145969E-09,0.27468599E-10,0.70757813E-12,0.12002779E-10,0.10246767E-13,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                                    
 -0.16666667E+01,0.18539693E-06,0.88313661E-06,0.70888509E-11,0.10629379E-07,0.85297432E-11,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                                    
 0.44408921E-15,0.85789775E-05,0.65827006E-03,0.15098749E-07,0.25666902E-03,0.34344091E-06,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                                     
 0.16666667E+01,0.33355990E-03,0.89236750E-01,0.69540467E-06,0.40201624E-01,0.25074820E-03,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                                     
 0.33333333E+01,0.28650436E-04,0.56825713E-02,0.24501233E-04,0.29604595E+01,0.54219517E-01,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                                     
 0.50000000E+01,0.16841859E-50,0.13382746E-48,0.77776315E-06,0.15528310E+00,0.33226242E-02,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00                                                                                                                                                                                                                                                                     
